Date,Département,Cumulative cases,New cases (24h),Cumulative Deaths,New deaths (24h) Rate Of,Case fatality rate,Source
#date,#adm1+name,#affected+infected+confirmed+total,#affected+infected+confirmed+new,#affected+infected+dead+total,#affected+infected+dead+new,,
24-05-2020,Ouest,769,70,19,3,2.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Artibonite,84,7,5,0,6.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Nord,36,3,2,0,5.6%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Centre,33,10,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Sud-Est,33,2,2,0,6.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Sud,27,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Nord-Ouest,27,7,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Nord-Est,26,6,2,0,7.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Grand Anse,16,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
24-05-2020,Nippes,12,0,1,1,8.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_24-05-2020.pdf
23-05-2020,Ouest,699,58,16,0,2.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Artibonite,77,3,5,0,6.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Nord,33,0,2,1,6.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Nord-Est,20,0,2,0,10.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Sud-Est,31,8,2,0,6.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Centre,23,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Nippes,12,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Nord-Ouest,20,10,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Sud,27,9,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
23-05-2020,Grand Anse,16,4,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_23-05-2020.pdf
22-05-2020,Ouest,641,15,16,0,2.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_22-05-2020.pdf
22-05-2020,Artibonite,74,0,5,0,6.8%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_22-05-2020.pdf
22-05-2020,Nord,33,11,1,0,3.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_22-05-2020.pdf
22-05-2020,Nord-Est,20,1,2,0,10.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_22-05-2020.pdf
22-05-2020,Sud-Est,23,4,2,1,8.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_22-05-2020.pdf
