Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed,#source+url
31/05/2020,28/05/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Al Jazirah,335,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Blue Nile,8,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Central Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,East Darfur,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Gedaref,151,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Kassala,40,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Khartoum,3794,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,North Darfur,61,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,North Kordofan,124,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Northern,15,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Red Sea,10,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,River Nile,17,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,Sennar,108,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,South Darfur,35,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,South Kordofan,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,West Darfur,24,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,West Kordofan,11,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
31/05/2020,28/05/2020,White Nile,43,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
21/05/2020,20/05/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
21/05/2020,20/05/2020,Al Jazirah,170,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
21/05/2020,20/05/2020,Blue Nile,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
21/05/2020,20/05/2020,Central Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
21/05/2020,20/05/2020,East Darfur,9,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
