ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source,our_measures,category,affected_pcodes,end_date,add_npi_id,remove_npi_id,compliance,use_in_model
330,South Sudan,SSD,,,Africa,add,Movement restrictions,International flights suspension,Yes,Flights suspended with affected countries. ,Not applicable,2020-03-13,AA,Media,https://www.aa.com.tr/en/africa/s-sudan-halts-flights-with-covid-19-affected-countries/1765141,2020-03-15,,closing borders,mobility-based,['SS'],,,"[10705, 10706]",,
343,South Sudan,SSD,,,Africa,add,Public health measures,Health screenings in airports and border crossings,No,,Not applicable,2020-02-20,Eye Radio,Media,https://eyeradio.org/some-vips-avoid-coronavirus-screening-at-jia/,2020-03-15,,closing borders,mobility-based,['SS'],,,,,
349,South Sudan,SSD,,,Africa,add,Public health measures,Awareness campaigns,No,Sanitation and hygiene recommendations,Not applicable,2020-03-15,East African,Media,https://www.theeastafrican.co.ke/news/ea/South-Sudan-precautions-against-coronavirus/4552908-5491866-1258q0d/index.html,2020-03-15,,social distancing,reproduction number-based,['SS'],,,,,
816,South Sudan,SSD,,,Africa,add,Social distancing,Limit public gatherings,No,ban of public gatherings,Not available,2020-03-15,Anadolu,Media,https://www.aa.com.tr/en/africa/coronavirus-south-sudan-bans-social-gatherings/1768378,2020-03-17,,reduction of size of gatherings,reproduction number-based,['SS'],,,,,
817,South Sudan,SSD,,,Africa,add,Public health measures,Isolation and quarantine policies,Yes,"travelers from coronavirus affected countries are required to self-quarantine, including appointed ministers and deputy ministers",Not applicable,2020-03-16,AA,Media,https://www.aa.com.tr/en/africa/coronavirus-south-sudan-bans-social-gatherings/1768378,2020-03-17,https://sudantribune.com/spip.php?article69109,social distancing,reproduction number-based,['SS'],,,,,
1754,South Sudan,SSD,,,Africa,add,Social distancing,Schools closure ,No,South Sudan announces suspension of all classes in all schools and universities for the next month.,Not applicable,2020-03-20,Radio Tamazuj,Media,https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears,2020-03-23,,school closure,contact-based,['SS'],,,,,
2990,South Sudan,SSD,,,Africa,add,Social distancing,Limit public gatherings,Yes,South sudan suspends training of its military.,Not applicable,2020-03-27,AA News,Media,https://www.aa.com.tr/en/africa/covid-19-s-sudan-suspends-training-of-unified-forces/1782177,2020-03-29,,reduction of size of gatherings,reproduction number-based,['SS'],,,,,
5413,South Sudan,SSD,,,Africa,add,Movement restrictions,Curfews,No,South sudan has curfew from 8pm to 6am.,Arrest/Detention,2020-03-25,OSAC,Government,https://www.osac.gov/Content/Report/10c44b03-fdf8-4249-856a-1848aca55939,2020-04-15,,social distancing,reproduction number-based,['SS'],,,,,
5414,South Sudan,SSD,,,Africa,add,Social distancing,Limit public gatherings,Yes,"Governmnet directs postponement of weddings, festivals and other religious and sporting events. ",Arrest/Detention,2020-04-05,South Sudan Governmnet,Social media,https://twitter.com/SouthSudanGov/status/1246764630044815360/photo/1,2020-04-15,,reduction of size of gatherings,reproduction number-based,['SS'],,,,,
5415,South Sudan,SSD,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,Suspension of all internal flights,Arrest/Detention,2020-04-05,South Sudan Governmnet,Social media,https://twitter.com/SouthSudanGov/status/1249717234739675143/photo/2,2020-04-15,,restricting inter-regional movement,mobility-based,['SS'],,,"[10705, 10706]",,
5416,South Sudan,SSD,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,"Suspension of passenger public transport, both public and private, between states. ",Arrest/Detention,2020-04-05,South Sudan Governmnet,Social media,https://twitter.com/SouthSudanGov/status/1249717234739675143/photo/2,2020-04-15,,restricting inter-regional movement,mobility-based,['SS'],,,,,
5417,South Sudan,SSD,,,Africa,add,Social distancing,Limit public gatherings,No,Government directs that funeral gatherings be less than 5 people. ,Arrest/Detention,2020-04-05,South Sudan Governmnet,Social media,https://twitter.com/SouthSudanGov/status/1246764630044815360/photo/1,2020-04-15,,reduction of size of gatherings,reproduction number-based,['SS'],,,,,
6609,South Sudan,SSD,,,Africa,add,Social distancing,Changes in prison-related policies,Yes,"A circular has been distributed to all states instructing prison authorities to release 1,400 inmates to ease overcrowding.",Not applicable,2020-04-19,The Observer,Media,https://observer.ug/news/headlines/64360-south-sudan-frees-1-400-prisoners-over-covid-19,2020-04-21,,social distancing,reproduction number-based,['SS'],,,,,
7867,South Sudan,SSD,,,Africa,add,Social distancing,Changes in prison-related policies,Yes,"Judiciary of South Suda, Ministry of Interior, justice and constitutional affairs and of the defence and veterans affairs, ordered to report to taskforce on conditions of inmates and to make recommnedations on decongestion of prisons and detention centres.",Not applicable,2020-04-24,South Sudan Government,Social media,https://twitter.com/SouthSudanGov/status/1253925919397462016/photo/2,2020-04-27,,social distancing,reproduction number-based,['SS'],,,,,
8595,South Sudan,SSD,,,Africa,add,Movement restrictions,Curfews,No,South Sudan government imposes curfew from 7pm to 6am until further notice.,Not available,2020-04-29,South Sudan Government,Social media,https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/2,2020-05-01,,social distancing,reproduction number-based,['SS'],,,,,
