npi_type,npi_category,admin_level,region_1_geotag,region_2_geotag,start_date,end_date,compliance
closing borders,mobility-based,0,AF,,2020-03-14,,
social distancing,reproduction number-based,1,AF01,,2020-03-14,,
social distancing,reproduction number-based,0,AF,,2020-03-14,,
reduction of size of gatherings,reproduction number-based,0,AF,,2020-03-14,,
closing borders,mobility-based,1,AF32,,2020-03-14,,
closing borders,mobility-based,1,AF33,,2020-03-14,,
closing borders,mobility-based,1,AF34,,2020-03-14,,
school closure,contact-based,1,AF32,,2020-03-14,,
reduction of size of gatherings,reproduction number-based,1,AF32,,2020-03-14,,
closing borders,mobility-based,0,AF,,2020-03-14,,
closing borders,mobility-based,2,AF0101,,2020-03-14,,
closing borders,mobility-based,2,AF3201,,2020-03-14,,
closing borders,mobility-based,2,AF2701,,2020-03-14,,
closing borders,mobility-based,2,AF2101,,2020-03-14,,
social distancing,reproduction number-based,0,AF,,2020-04-07,,
closing borders,mobility-based,2,AF0101,,2020-04-07,,
closing borders,mobility-based,2,AF3201,,2020-04-07,,
closing borders,mobility-based,2,AF2701,,2020-04-07,,
closing borders,mobility-based,2,AF2101,,2020-04-07,,
closing borders,mobility-based,0,AF,,2020-04-07,,
closing borders,mobility-based,0,AF,,2020-04-07,,
social distancing,reproduction number-based,0,AF,,2020-04-07,,
social distancing,reproduction number-based,0,AF,,2020-04-07,,
social distancing,reproduction number-based,0,AF,,2020-04-07,,
social distancing,reproduction number-based,0,AF,,2020-04-07,,
restricting inter-regional movement,mobility-based,1,AF32,,2020-04-07,,
social distancing,reproduction number-based,0,AF,,2020-04-07,,
closing borders,mobility-based,1,AF32,,2020-04-07,,
closing borders,mobility-based,1,AF33,,2020-04-07,,
closing borders,mobility-based,1,AF34,,2020-04-07,,
social distancing,reproduction number-based,0,AF,,2020-04-07,,
school closure,contact-based,0,AF,,2020-04-07,,
closing borders,mobility-based,1,AF32,,2020-04-07,,
reduction of size of gatherings,reproduction number-based,0,AF,,2020-04-07,,
partial lockdown,reproduction number-based,2,AF0101,,2020-04-07,,
social distancing,reproduction number-based,0,AF,,2020-05-11,,
closing borders,mobility-based,0,AF,,2020-05-18,,
social distancing,reproduction number-based,0,AF,,2020-05-18,,
