npi_type,npi_category,admin_level,region_geotag,start_date,end_date,compliance
social distancing,reproduction number-based,0,CD,2020-03-15,,
closing borders,mobility-based,0,CD,2020-03-15,,
closing borders,mobility-based,0,CD,2020-03-21,,
school closure,contact-based,0,CD,2020-03-21,,
reduction of size of gatherings,reproduction number-based,0,CD,2020-03-21,,
social distancing,reproduction number-based,0,CD,2020-03-21,,
social distancing,reproduction number-based,0,CD10,2020-03-21,,
reduction of size of gatherings,reproduction number-based,0,CD,2020-03-21,,
closing borders,mobility-based,0,CD,2020-03-27,,
restricting inter-regional movement,mobility-based,0,CD,2020-03-27,,
restricting inter-regional movement,mobility-based,0,CD10,2020-03-27,,
reduction of size of gatherings,reproduction number-based,0,CD,2020-03-27,,
partial lockdown,reproduction number-based,1,CD10,2020-03-27,,
partial lockdown,reproduction number-based,1,CD10,2020-04-12,,
reduction of size of gatherings,reproduction number-based,0,CD,2020-04-20,,
reduction of size of gatherings,reproduction number-based,0,CD,2020-04-20,,
reduction of size of gatherings,reproduction number-based,0,CD,2020-04-20,,
face mask wearing,reproduction number-based,1,CD10,2020-04-22,,
restricting inter-regional movement,mobility-based,1,CD10,2020-04-22,,
partial lockdown,reproduction number-based,2,CD7101,2020-04-22,,
partial lockdown,reproduction number-based,2,CD7101,2020-04-22,,
partial lockdown,reproduction number-based,2,CD6109,2020-04-22,,
partial lockdown,reproduction number-based,2,CD6110,2020-04-22,,
partial lockdown,reproduction number-based,2,CD6201,2020-04-22,,
social distancing,reproduction number-based,1,CD72,2020-04-22,,
social distancing,reproduction number-based,1,CD7101,2020-04-22,,
face mask wearing,reproduction number-based,1,CD62,2020-04-22,,
social distancing,reproduction number-based,1,CD62,2020-04-22,,
restricting inter-regional movement,mobility-based,2,CD7101,2020-04-22,,
restricting inter-regional movement,mobility-based,2,CD6109,2020-04-22,,
restricting inter-regional movement,mobility-based,2,CD6110,2020-04-22,,
partial lockdown,reproduction number-based,1,CD71,2020-04-30,,
restricting inter-regional movement,mobility-based,1,CD10,2020-04-30,,
school closure,contact-based,0,CD,2020-04-30,,
reduction of size of gatherings,reproduction number-based,0,CD,2020-04-30,,
closing borders,mobility-based,0,CD,2020-04-30,,
face mask wearing,reproduction number-based,1,CD20,2020-05-14,,
face mask wearing,reproduction number-based,2,CD7101,2020-05-14,,
partial lockdown,reproduction number-based,1,CD20,2020-05-20,,
social distancing,reproduction number-based,2,CD6101,2020-05-27,,
social distancing,reproduction number-based,2,CD6101,2020-05-27,,
restricting inter-regional movement,mobility-based,2,CD6101,2020-05-27,,
