npi_type,npi_category,admin_level,region_geotag,start_date,end_date,compliance
restricting inter-regional movement,mobility-based,2,SD01007,2020-03-15,,
restricting inter-regional movement,mobility-based,2,SD10064,2020-03-15,,
restricting inter-regional movement,mobility-based,2,SD17,2020-03-15,,
closing borders,mobility-based,0,SD,2020-03-17,,
closing borders,mobility-based,0,SD,2020-03-17,,
school closure,contact-based,0,SD,2020-03-17,,
social distancing,reproduction number-based,0,SD,2020-03-29,,
closing borders,mobility-based,0,SD,2020-03-29,,
restricting inter-regional movement,mobility-based,0,SD,2020-03-29,,
reduction of size of gatherings,reproduction number-based,0,SD,2020-04-02,,
social distancing,reproduction number-based,0,SD,2020-04-02,,
partial lockdown,reproduction number-based,2,SD01007,2020-04-14,,
social distancing,reproduction number-based,2,SD01007,2020-04-14,,
closing borders,mobility-based,0,SD,2020-04-21,,
restricting inter-regional movement,mobility-based,0,SD,2020-04-21,,
closing businesses,reproduction number-based,2,SD01007,2020-05-01,,
partial lockdown,reproduction number-based,2,SD01007,2020-05-11,,
reduction of size of gatherings,reproduction number-based,2,SD10064,2020-05-12,,
reduction of size of gatherings,reproduction number-based,2,SD17,2020-05-12,,
reduction of size of gatherings,reproduction number-based,1,SD11,2020-05-12,,
partial lockdown,reproduction number-based,2,SD01007,2020-05-19,,
closing borders,mobility-based,0,SD,2020-05-25,,
restricting inter-regional movement,mobility-based,0,SD,2020-05-25,,
partial lockdown,reproduction number-based,2,SD01007,2020-06-05,,
closing borders,mobility-based,0,SD,2020-06-05,,
restricting inter-regional movement,mobility-based,0,SD,2020-06-05,,
social distancing,reproduction number-based,0,SD,2020-06-05,,
social distancing,reproduction number-based,0,SD01007,2020-06-05,,
