npi_type,npi_category,admin_level,region_geotag,start_date,end_date,compliance
closing borders,mobility-based,0,SO,2020-03-17,,
closing borders,mobility-based,0,SO,2020-03-23,,
closing borders,mobility-based,0,SO,2020-03-23,,
closing borders,mobility-based,0,SO,2020-03-23,,
social distancing,reproduction number-based,0,SO,2020-03-23,,
restricting inter-regional movement,mobility-based,0,SO,2020-03-28,,
closing borders,mobility-based,0,SO,2020-03-28,,
school closure,contact-based,0,SO,2020-03-31,,
social distancing,reproduction number-based,2,SO2201,2020-04-15,,
closing borders,mobility-based,0,SO,2020-04-21,,
closing borders,mobility-based,2,SO2604,2020-05-14,,
closing borders,mobility-based,2,SO2605,2020-05-14,,
closing borders,mobility-based,0,SO,2020-05-23,,
